1.0,0.0,0.48214286,0.48529412,0.5323741,0.47177419,0.5,0.50948167,0.51546392,0.48558758,0.46560847,0.5,77.0,200.0,45.0,67.0,350.0,84.0,78.0,112.0,51.0,497.0
1.0,23.0,0.42567568,0.4941349,0.50227273,0.47177419,0.52333333,0.52173913,0.5,0.63157895,0.41111111,0.48398577,876.0,131.0,54.0,145.0,99.0,98.0,11.0,68.0,22.0,350.0
2.0,23.0,0.5,0.47335423,0.41254125,0.47177419,0.48427673,0.45945946,0.375,0.49881657,0.52333333,0.42857143,516.0,254.0,39.0,145.0,32.0,223.0,203.0,245.0,81.0,25.0
1.0,22.0,0.38461538,0.43103448,0.5,0.47177419,0.40277778,0.50082919,0.39130435,0.45,0.47916667,0.50171821,266.0,11.0,55.0,15.0,117.0,86.0,33.0,103.0,145.0,9.0
2.0,21.0,0.47419355,0.45762712,0.48113208,0.47177419,0.38709677,0.4368932,0.48484848,0.46382979,0.48,0.46357616,133.0,59.0,111.0,18.0,16.0,777.0,141.0,99.0,81.0,350.0
2.0,23.0,0.47058824,0.48643411,0.45255474,0.47177419,0.45833333,0.53005464,0.4,0.37209302,0.50343643,0.54137116,79.0,200.0,4.0,29.0,875.0,102.0,64.0,101.0,21.0,89.0
1.0,22.0,0.46875,0.46052632,0.1875,0.47177419,0.54966887,0.50505051,0.5,0.44,0.4137931,0.47244094,82.0,203.0,711.0,18.0,32.0,106.0,113.0,517.0,81.0,22.0
1.0,21.0,0.49333333,0.44444444,0.49238579,0.47177419,0.48920863,0.50548112,0.4981685,0.4609375,0.49228944,0.5,74.0,121.0,268.0,18.0,25.0,106.0,131.0,101.0,145.0,22.0
1.0,20.0,0.45751634,0.56390977,0.4137931,0.47177419,0.48148148,0.57142857,0.4507772,0.53125,0.46311475,0.42857143,81.0,106.0,103.0,15.0,117.0,36.0,77.0,50.0,145.0,350.0
2.0,0.0,0.42622951,0.50271739,0.50579151,0.47177419,0.45418327,0.40384615,0.49285714,0.49019608,0.46700508,0.49542962,27.0,33.0,99.0,18.0,21.0,35.0,19.0,84.0,81.0,53.0
1.0,23.0,0.48322148,0.50271739,0.50579151,0.47177419,0.42666667,0.47727273,0.55,0.48310139,0.18181818,0.44242424,77.0,33.0,99.0,18.0,117.0,43.0,32.0,131.0,221.0,202.0
1.0,0.0,0.48529412,0.50616389,0.51333333,0.47177419,0.48765432,0.54304636,0.4375,0.5,0.51339286,0.4847561,777.0,35.0,517.0,67.0,53.0,77.0,23.0,112.0,81.0,432.0
2.0,23.0,0.46875,0.50943396,0.50464807,0.47177419,0.48888889,0.65957447,0.51359517,0.54545455,0.49635036,0.51943463,516.0,62.0,22.0,15.0,80.0,420.0,234.0,517.0,360.0,25.0
1.0,23.0,0.43712575,0.44230769,0.42857143,0.47177419,0.45539906,0.39655172,0.55932203,0.49180328,0.44444444,0.50766871,85.0,5.0,245.0,29.0,101.0,84.0,9.0,238.0,236.0,98.0
1.0,22.0,0.47712418,0.49159664,0.46981132,0.47177419,0.55704698,0.57575758,0.50533808,0.41666667,0.4057971,0.45454545,14.0,113.0,518.0,29.0,117.0,17.0,25.0,84.0,21.0,99.0
1.0,22.0,0.49689441,0.4891945,0.41176471,0.47177419,0.4855643,0.50655022,0.49056604,0.1,0.5,0.46039604,102.0,62.0,103.0,18.0,21.0,429.0,141.0,517.0,81.0,117.0
2.0,1.0,0.4825046,0.46774194,0.5528169,0.48233216,0.47177419,0.52183908,0.66666667,0.51428571,0.47328244,0.49484536,887.0,141.0,84.0,22.0,99.0,420.0,76.0,3.0,51.0,53.0
1.0,1.0,0.50274223,0.38095238,0.40350877,0.47177419,0.47819315,0.51190476,0.52380952,0.35714286,0.4,0.51503759,420.0,11.0,91.0,15.0,89.0,31.0,245.0,517.0,895.0,22.0
1.0,0.0,0.38461538,0.62184874,0.55844156,0.47177419,0.44274809,0.4861461,0.375,0.44285714,0.37704918,0.48154093,24.0,131.0,55.0,29.0,350.0,876.0,20.0,8.0,145.0,235.0
1.0,0.0,0.52310924,0.59090909,0.48427673,0.47177419,0.44827586,0.50746269,0.42105263,1.0,0.50914634,0.47352941,777.0,19.0,112.0,18.0,21.0,54.0,234.0,157.0,51.0,350.0
